Mensagem,Spam
"Por favor, O RH enviou o link oficial para atualização dos dados cadastrais. Responda assim que puder.",0
"Por favor, O acesso ao portal de aulas ficará indisponível durante a manutenção. Prazo até hoje.",0
Atenção: Segue a ata da reunião sobre compras realizada ontem. Prazo até hoje.,0
Comunicado: O arquivo PDF do cliente Omega foi atualizado na pasta compartilhada. Fico no aguardo.,0
"Olá, O benefício de frete grátis da parceria corporativa foi renovado. Responda assim que puder.",0
Comunicado: Documento fiscal pendente: regularize seu acesso no portal informado.,1
"Por favor, Inscrição gratuita no evento técnico aprovada pela coordenação. Verifique quando possível.",0
Bom dia. Aprovação do orçamento de Janeiro disponível para revisão. Responda assim que puder.,0
"Olá, Promoção imperdível: compre agora e receba viagem grátis. Verifique quando possível.",1
Comunicado: Dúvida sobre a tarefa de vendas publicada no ambiente da turma. Obrigado.,0
"Comunicado: Último aviso de renovação, informe seus dados para manter o acesso. Obrigado.",1
"Olá, Seu armazenamento corporativo excedeu o limite, confirme a renovação. Verifique quando possível.",1
"Comunicado: Carla, pode revisar o relatório de marketing até amanhã? Verifique quando possível.",0
Comunicado: O prêmio de inovação será entregue durante o evento corporativo.,0
O arquivo PDF do cliente Sigma foi atualizado na pasta compartilhada. Responda assim que puder.,0
"Por favor, O arquivo PDF do cliente Beta foi atualizado na pasta compartilhada. Prazo até hoje.",0
"Atenção: Prezado cliente, identificamos inconsistências no seu cadastro bancário. Prazo até hoje.",1
"Olá, A promoção de bolsas de estudo será divulgada no mural oficial. Obrigado.",0
"Por favor, Precisamos validar os indicadores de marketing antes da apresentação.",0
Atenção: Documento fiscal pendente: regularize seu acesso no portal informado. Responda assim que puder.,1
"Atenção: Henrique, pode revisar o relatório de RH até amanhã? Responda assim que puder.",0
"Olá, Bom dia, podemos remarcar a call com o cliente Alpha para 15h? Fico no aguardo.",0
"pfv, Ganhe R$ 1.000 fácil e rápido, clique aqui agora. Verifique quando possível.",1
Atenção: O prêmio acadêmico será entregue aos projetos selecionados. Obrigado.,0
Bom dia. Libere seu prêmio antes que ele seja cancelado.,1
Comunicado: Oferta de desconto educacional disponível para alunos matriculados. Obrigado.,0
Comunicado: Renda extra garantida: comece hoje e lucre amanhã. Prazo até hoje.,1
Comunicado: Confirme presença no evento gratuito até o dia 1.,0
Bom dia. Detectamos acesso incomum e solicitamos verificação urgente dos dados.,1
O arquivo PDF do cliente Delta foi atualizado na pasta compartilhada. Fico no aguardo.,0
